Plot,Rep,Program ID,Length_Feet,Length_Inches,Height,Test,Protein,Weight,Moisture,rep_dup
1,1,HRW20077,15,9,38,61.1,9.2,3.067,15.4,1
2,1,HRW20023,15,10,36,63.2,12.5,2.24,14,1
3,1,HRW20020,15,10,35,62.2,9.5,2.762,15.1,1
4,1,HRW20021,15,5,34,61.9,8.9,3.222,16,1
5,1,HRW20019,15,5,33,62.9,11.2,2.489,15.1,1
6,1,HRW20001,15,4,37,61.9,10.4,2.138,14,1
7,1,HRW20076,15,4,35,62.4,9.4,2.638,15,1
8,1,HRW20013,14,10,37,62.8,9.4,2.34,14.4,1
9,1,HRW20014,14,10,36,62.9,10.4,2.925,16.1,1
10,1,HRW20015,14,6,34,61.8,9.9,2.987,16.2,1
11,1,HRW20016,17,7,34,62.5,9.1,2.375,14.6,1
12,1,HRW20075,17,1,36,63.4,9.7,2.058,13,1
13,1,HRW20002,16,7,36,60.8,9.1,2.78,15.4,1
14,1,HRW20003,16,3,34,60.4,8.5,2.895,15.3,1
15,1,HRW20004,16,2,34,59.5,8.2,2.959,14.9,1
16,1,HRW20005,15,7,27,60,8.9,2.225,13.6,1
17,1,HRW20006,15,6,35,59.7,8,2.773,15.3,1
18,1,HWW30005,15,7,34,62.6,8.9,2.435,14.9,1
19,1,HWW30002,15,6,33,63.7,9.6,2.458,14.8,1
20,1,HWW30034,15,2,32,60.3,8.7,2.89,15.6,1
21,1,HWW30035,15,7,34,62.3,9.4,2.452,14.9,1
22,1,HRW20078,15,8,34,62.6,9.6,2.292,14.3,1
23,1,HRW20079,15,8,33,60.7,9,2.334,14.2,1
24,1,HRW20080,15,9,34,61.9,9.1,2.876,15.1,1
25,1,HRW20081,15,5,32,62.6,9.7,2.247,14,1
26,2,HRW20021,15,2,33,61.8,9.2,2.871,15.6,2
27,2,HRW20020,15,0,34,62.3,9.9,2.736,15.7,2
28,2,HRW20023,14,10,36,63,11.3,2.132,13.5,2
29,2,HRW20006,14,9,35,60.9,9.3,2.782,15.4,2
30,2,HWW30002,14,7,34,62.9,10.1,1.829,12.2,2
31,2,HRW20005,15,9,32,60.5,9.3,3.188,15.4,2
