Plot,Length_Feet,Length_Inches,Height,Test,Protein,Weight,Moisture,Entry,Rep,Program ID
1,15,0,36,62.7,10.4,3.081,14.3,1,1,HRW20077
2,14,1,36,64.3,11.7,2.325,12.3,2,1,HRW20023
3,14,11,30,63.9,11.5,2.633,14.8,3,1,HRW20020
4,13,10,32,63.6,10.5,3.387,15.7,4,1,HRW20021
5,14,11,31,64.2,12.1,2.525,13.8,5,1,HRW20019
6,15,0,37,63.6,12.3,2.678,14.3,6,1,HRW20001
7,15,1,32,63.8,11,3.485,15.5,7,1,HRW20076
8,14,8,36,64.5,11.5,3.012,15.3,8,1,HRW20013
9,15,0,35,63.6,12.8,2.753,14.6,9,1,HRW20014
10,14,9,33,64,11.5,2.895,14.8,10,1,HRW20015
11,15,1,31,64.4,12.2,3.087,14.8,11,1,HRW20016
12,15,6,35,65,11.3,3.7,15.7,12,1,HRW20075
13,15,7,34,63.5,11.2,3.145,14.9,13,1,HRW20002
14,15,6,29,63.4,12.1,3.436,15.1,14,1,HRW20003
15,15,6,32,63.5,10.7,3.46,15.8,15,1,HRW20004
16,15,8,27,62.5,10.5,3.064,14.7,16,1,HRW20005
17,15,9,32,62.7,11.1,3.636,14.8,17,1,HRW20006
18,15,7,30,64.4,11.8,2.708,14.4,18,1,HWW30005
19,15,5,30,65,11.6,2.696,13.9,19,1,HWW30002
20,15,6,28,63.2,11.4,3.344,15.5,20,1,HWW30034
21,15,3,30,63.5,11.7,2.548,14.1,21,1,HWW30035
22,15,4,30,64.4,11.5,2.699,14.7,22,1,HRW20078
23,15,2,29,62.7,10.8,2.706,14.3,23,1,HRW20079
24,14,11,32,63.2,10.4,3.229,15.3,24,1,HRW20080
25,14,10,29,64.9,11,2.666,14.5,25,1,HRW20081
26,15,4,30,63.8,10.6,3.267,15.5,4,2,HRW20021
27,15,6,29,63.5,11.4,2.984,15,3,2,HRW20020
28,15,6,32,64.3,12,2.245,12.6,2,2,HRW20023
29,15,9,31,61.8,10.7,2.744,14.1,17,2,HRW20006
30,15,11,30,64.3,11.6,2.336,12.8,19,2,HWW30002
31,14,7,28,61.6,9.5,2.496,13.7,16,2,HRW20005
32,14,6,30,63.1,10,2.334,12.9,10,2,HRW20015
33,14,7,29,62.1,10.3,2.729,14.4,20,2,HWW30034
34,14,8,28,63.9,11.1,2.629,14.3,5,2,HRW20019
35,14,7,34,64.5,10.1,3.129,15.2,8,2,HRW20013
36,15,0,36,64.8,10.6,3.317,16,12,2,HRW20075
37,15,2,29,62.3,10.5,2.733,14.4,23,2,HRW20079
38,15,2,32,63.8,9.9,2.982,15.2,7,2,HRW20076
39,15,4,33,62.9,10.1,2.909,13.9,1,2,HRW20077
40,15,4,33,63.8,11.4,2.299,13.2,9,2,HRW20014
41,15,2,31,63.9,11.2,2.765,15,18,2,HWW30005
42,15,4,31,62.9,11.4,2.737,14.3,21,2,HWW30035
43,15,3,30,63.6,11,2.548,14.3,22,2,HRW20078
44,15,1,36,63.2,10.7,2.968,14.4,13,2,HRW20002
45,15,2,32,62.5,10.7,2.89,14.8,14,2,HRW20003
46,15,3,37,63.4,11.6,2.439,13.8,6,2,HRW20001
47,15,3,29,63.9,11.8,2.587,13.3,11,2,HRW20016
48,15,2,31,62.9,10.1,2.772,14.6,15,2,HRW20004
49,15,3,29,62.8,10.8,2.351,13.2,24,2,HRW20080
50,15,1,28,64.6,11,2.24,12.6,25,2,HRW20081
51,15,3,31,62.7,11.7,2.899,14.7,21,3,HWW30035
52,13,1,33,64.4,10.6,2.747,14.4,8,3,HRW20013
53,15,3,31,64.1,11.7,2.599,14.3,19,3,HWW30002
54,15,2,32,62.6,10.4,3.044,14.4,1,3,HRW20077
55,14,11,31,64.2,11.8,2.33,13,18,3,HWW30005
56,15,0,29,62.3,10.7,2.997,14.8,20,3,HWW30034
57,15,3,35,65.2,10.8,3.48,16.2,12,3,HRW20075
58,15,5,29,63.3,12.4,2.344,13,9,3,HRW20014
59,15,3,37,63.6,12,2.296,12.7,6,3,HRW20001
60,14,11,30,63.7,12.3,2.481,13.6,11,3,HRW20016
61,15,9,32,64.5,12.5,1.813,10.8,2,3,HRW20023
62,15,6,34,62.9,10.8,2.979,14.3,13,3,HRW20002
63,15,6,27,61.4,10.1,2.165,12.5,16,3,HRW20005
64,15,9,30,63.6,10.3,2.468,13.3,15,3,HRW20004
65,15,10,31,63.2,11.4,3.078,15.3,24,3,HRW20080
66,15,8,28,63.5,12.4,2.227,12.5,3,3,HRW20020
67,15,7,30,64.1,11,2.649,14.3,7,3,HRW20076
68,15,8,27,64.1,12,2.284,12.8,5,3,HRW20019
69,15,6,28,62.7,10.7,2.489,13.5,14,3,HRW20003
70,15,4,29,63.7,10.4,2.783,14.5,23,3,HRW20079
71,14,4,30,65.1,11.3,2.592,14.5,25,3,HRW20081
72,14,10,31,62.5,11.6,2.767,13.7,17,3,HRW20006
73,14,10,29,64.2,11.9,2.255,12.9,22,3,HRW20078
